Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,West Bank and Gaza,PSE,469000000,524000000,412000000,312000000,235000000,225000000,245000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"Yemen, Rep.",YEM,1005000000,1097000000,1199000000,116000000,116000000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Zambia,ZMB,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Zimbabwe,ZWE,174000000,183000000,186000000,191000000,194000000,158000000,191000000,285000000,66000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Africa Eastern and Southern,AFE,26393212256,26053231119,27220802346,25119401605,24305252594,26552526185,28672643620,27810935914,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Africa Western and Central,AFW,4741440190,5072423448,5059666955,4341562037,5481752264,7387315888,7230774394,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Arab World,ARB,70933565986,69505430690,78173558300,89547572197,93401986638,1.07576E+11,1.19513E+11,1.31923E+11,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Caribbean small states,CSS,7704723513,7795442215,9468167770,9836484355,10590877575,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Central Europe and the Baltics,CEB,49388847915,52427847627,54406256971,47288934512,51301453985,58829311856,64718122568,65843484714,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Early-demographic dividend,EAR,1.68922E+11,1.79326E+11,1.94703E+11,1.94225E+11,1.88152E+11,2.19796E+11,2.44162E+11,2.66595E+11,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,East Asia & Pacific,EAS,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,East Asia & Pacific (excluding high income),EAP,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,East Asia & Pacific (IDA & IBRD countries),TEA,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Euro area,EMU,2.89622E+11,3.11097E+11,3.25641E+11,2.93031E+11,2.97293E+11,3.2673E+11,3.56076E+11,3.55219E+11,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Europe & Central Asia,ECS,4.82223E+11,5.22254E+11,5.39719E+11,4.77925E+11,4.77407E+11,5.31629E+11,5.84532E+11,5.89621E+11,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Europe & Central Asia (excluding high income),ECA,76682096687,87652930166,85866543244,72231918239,64794278567,77226677470,89044934208,93373739043,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Europe & Central Asia (IDA & IBRD countries),TEC,97291038400,1.09574E+11,1.08623E+11,91594085452,85964198034,1.01717E+11,1.15984E+11,1.21077E+11,3456000
